t_elapsed_s,frame,cumulativeRewardAgent,cumulativeRewardAverage,epsilon,hits_counter,episodes
1763922183792,133,-0.9279953116293003,-0.009282953116293003,0.998746,0,1
1763922213852,781,-0.777499454840239,-0.017057947664695393,0.99259,1,2
1763922227942,912,-0.9258245252329902,-0.026316192917025295,0.9913455,0,3
1763922227991,1043,-0.9397063694248124,-0.03571325661127342,0.990101,0,4
1763922228031,1174,-0.9515810215755847,-0.04522906682702927,0.9888565,0,5
1763922229160,1304,-0.8982201236593754,-0.054211268063623023,0.9876215,0,6
1763922229285,1955,-0.7715143406013664,-0.06192641146963669,0.981437,1,7
1763922229301,2086,-0.9031858302065043,-0.07095826977170173,0.9801925,0,8
1763922229323,2217,-0.8970477504762839,-0.07992874727646457,0.978948,0,9
1763922229335,2348,-0.9261813135380781,-0.08919056041184537,0.9777035000000001,0,10
1763922230601,2478,-0.9308670943857373,-0.09849923135570274,0.9764685,0,11
1763922230626,2609,-0.9328506557549792,-0.10782773791325254,0.975224,0,12
1763922230728,3260,-0.7645279073750904,-0.11547301698700344,0.9690395,1,13
1763922230744,3391,-0.8997376862369515,-0.12447039384937295,0.967795,0,14
1763922230759,3522,-0.9425590643890076,-0.133895984493263,0.9665505,0,15
1763922232053,3652,-0.8985362673180681,-0.1428813471664437,0.9653155,0,16
1763922232078,3783,-0.9409761975473694,-0.1522911091419174,0.964071,0,17
1763922232113,3914,-0.9859670985649389,-0.16215078012756678,0.9628265,0,18
1763922232195,4565,-0.7667755762727179,-0.16981853589029394,0.956642,1,19
1763922232211,4696,-0.8929398282369565,-0.17874793417266355,0.9553975,0,20
1763922233576,5346,-0.7566596519911081,-0.18631453069257461,0.9492225,1,21
1763922233593,5477,-0.9060888802285467,-0.1953754194948601,0.947978,0,22
1763922233609,5608,-0.8967439944150946,-0.204342859439011,0.9467335,0,23
1763922233625,5739,-0.9276961203684793,-0.21361982064269583,0.945489,0,24
1763922233643,5870,-0.961260057542582,-0.22323242121812165,0.9442445,0,25
1763922234941,6000,-0.9034234853631808,-0.23226665607175345,0.9430095000000001,0,26
1763922234966,6131,-0.9283591792592492,-0.24155024786434595,0.941765,0,27
1763922234985,6262,-0.9280667575422146,-0.2508309154397681,0.9405205,0,28
1763922235003,6393,-0.9474891076684813,-0.2603058065164529,0.939276,0,29
1763922235023,6524,-0.8993958048194979,-0.2692997645646479,0.9380315,0,30
1763922236202,6654,-0.9132577176443379,-0.27843234174109127,0.9367965,0,31
1763922236225,6785,-0.9018246016277338,-0.2874505877573686,0.935552,0,32
1763922236243,6916,-0.8936794226701512,-0.2963873819840701,0.9343075000000001,0,33
1763922236265,7047,-0.9175042394928346,-0.3055624243789985,0.933063,0,34
1763922236281,7178,-0.9244315290707754,-0.31480673966970624,0.9318185,0,35
1763922237468,7308,-0.9233482973932561,-0.3240402226436388,0.9305835,0,36
1763922237494,7439,-0.8899869862748815,-0.3329400925063877,0.929339,0,37
1763922237516,7570,-0.9252826906161451,-0.3421929194125491,0.9280945,0,38
1763922237535,7701,-0.8889646711671795,-0.3510825661242209,0.92685,0,39
1763922237554,7832,-0.9395686788205742,-0.3604782529124266,0.9256055,0,40
1763922238733,7962,-0.9007919064158125,-0.36948617197658473,0.9243705,0,41
1763922238755,8093,-0.9669031117824873,-0.3791552030944096,0.923126,0,42
1763922238844,8744,-0.770215922962659,-0.3868573623240361,0.9169415,1,43
1763922238859,8875,-0.8979292552925928,-0.39583665487696207,0.915697,0,44
1763922238880,9006,-0.9689057053926526,-0.4055257119308886,0.9144525,0,45
1763922240250,9656,-0.7716972459760705,-0.4132426843906493,0.9082775000000001,1,46
1763922240273,9787,-0.9538247015615544,-0.4227809314062648,0.907033,0,47
1763922240290,9918,-0.9465135015274184,-0.432246066421539,0.9057885,0,48
1763922240307,10049,-0.9733964237309989,-0.441980030658849,0.904544,0,49
1763922240475,11220,-0.5899821012722042,-0.447879851671571,0.8934195,2,50
1763922241972,11350,-0.9135738613030306,-0.4570155902846013,0.8921845,0,51
1763922241996,11481,-0.942507274849572,-0.46644066303309706,0.8909400000000001,0,52
1763922242017,11612,-0.9498240373082083,-0.47593890340617917,0.8896955,0,53
1763922242111,12263,-0.787596843626229,-0.48381487184244143,0.883511,1,54
1763922242128,12394,-0.8946320134714936,-0.4927611919771564,0.8822665000000001,0,55
1763922243404,12524,-0.9083704995992252,-0.5018448969731486,0.8810315,0,56
1763922243431,12655,-0.9054941635823202,-0.5108998386089718,0.879787,0,57
1763922243449,12786,-0.9627771500244702,-0.5205276101092164,0.8785425,0,58
1763922243468,12917,-0.9146377120944775,-0.5296739872301612,0.877298,0,59
1763922243489,13048,-0.8911156361866308,-0.5385851435920276,0.8760535,0,60
1763922244666,13178,-0.8910174703255869,-0.5474953182952834,0.8748185,0,61
1763922244696,13309,-0.9106977751974088,-0.5566022960472575,0.8735740000000001,0,62
1763922244715,13440,-0.9172853725084003,-0.5657751497723416,0.8723295,0,63
1763922244814,14091,-0.7475491182520816,-0.5732506409548623,0.866145,1,64
1763922244834,14222,-0.8994191970722634,-0.5822448329255849,0.8649005000000001,0,65
1763922246116,14352,-0.9135738613030306,-0.5913805715386152,0.8636655,0,66
1763922246138,14483,-0.9243165867041665,-0.6006237374056569,0.862421,0,67
1763922246159,14614,-0.8917175247990721,-0.6095409126536476,0.8611765,0,68
1763922246179,14745,-0.9331853047362106,-0.6188727657010097,0.859932,0,69
1763922246196,14876,-0.912712622129684,-0.6279998919223065,0.8586875,0,70
1763922247370,15006,-0.8982201236593754,-0.6369820931589003,0.8574525,0,71
