t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-17T11:17:42,4.818,1174,-4.901056535177271,-0.04901056535177271,0.9883873,1,1
2025-11-17T11:17:47,9.726,2868,-4.77100833847416,-0.09672064873651431,0.9716167,2,2
2025-11-17T11:18:47,4.752,1174,-4.903890479058774,-0.049038904790587735,0.9883873,1,1
2025-11-17T11:18:52,9.116,1828,-5.621586643257918,-0.1052547712231669,0.9819127,0,2
2025-11-17T11:18:56,13.723,3002,-4.4388528850738105,-0.149643300073905,0.9702901,1,3
2025-11-17T11:19:01,18.575,4696,-4.75681121039802,-0.1972114121778852,0.9535195,2,4
2025-11-17T11:19:06,23.057,5350,-5.1816174268159045,-0.24902758644604425,0.9470449,0,5
2025-11-17T11:19:10,27.792,6524,-4.938733292691948,-0.29841491937296377,0.9354223,1,6
2025-11-17T11:19:15,32.679,8218,-4.216323485363181,-0.3405781542265956,0.9186517,2,7
2025-11-17T11:19:20,37.057,8872,-5.613691906415813,-0.3967150732907537,0.9121771,0,8
2025-11-17T11:19:24,41.448,9526,-5.1561133132323995,-0.44827620642307764,0.9057025,0,9
2025-11-17T11:19:29,45.861,10180,-5.128609908018912,-0.49956230550326675,0.8992279,0,10
2025-11-17T11:19:33,50.556,11354,-4.911349479860323,-0.54867580030187,0.8876053,1,11
2025-11-17T11:19:38,54.949,12008,-5.108744892179768,-0.5997632492236677,0.8811307,0,12
2025-11-17T11:19:42,59.716,13182,-4.976327277654354,-0.6495265220002112,0.8695081,1,13
2025-11-17T11:19:47,64.204,13836,-5.5985347200489874,-0.7055118692007011,0.8630335,0,14
2025-11-17T11:19:51,68.654,14490,-5.173722689973799,-0.7572490961004391,0.8565589,0,15
2025-11-17T11:19:56,73.095,15144,-5.158685095988837,-0.8088359470603274,0.8500843,0,16
2025-11-17T11:20:00,77.568,15798,-5.643647502003874,-0.8652724220803661,0.8436097,0,17
2025-11-17T11:20:05,82.03,16452,-5.173722689973799,-0.9170096489801041,0.8371351,0,18
2025-11-17T11:20:09,86.514,17106,-5.14139186290613,-0.9684235676091655,0.8306605,0,19
2025-11-17T11:20:14,91.053,17760,-5.6737226899738,-1.0251607945089034,0.8241859,0,20
2025-11-17T11:20:18,95.583,18414,-5.1436475020038745,-1.076597269528942,0.8177113,0,21
2025-11-17T11:20:23,100.109,19068,-5.1662038929813185,-1.1282593084587553,0.8112367,0,22
2025-11-17T11:20:27,104.649,19722,-5.658685095988837,-1.1848461594186437,0.8047621,0,23
2025-11-17T11:20:33,110.803,20376,-5.151285891378218,-1.236359018332426,0.7982875,0,24
2025-11-17T11:20:47,124.695,22590,-4.061671437176319,-1.276975732704189,0.7763689,3,25
2025-11-17T11:20:54,131.659,23244,-5.168895268119618,-1.3286646853853852,0.7698943,0,26
2025-11-17T11:21:06,143.457,24938,-4.7563754743574655,-1.37622844012896,0.7531237,2,27
2025-11-17T11:21:18,155.36,26632,-4.246076716017109,-1.418689207289131,0.7363531,2,28
2025-11-17T11:21:27,164.765,27806,-4.951199103920473,-1.468201198328336,0.7247304999999999,1,29
2025-11-17T11:21:37,174.251,28980,-4.918552133194112,-1.517386719660277,0.7131079,1,30
2025-11-17T11:21:44,181.361,29634,-5.143767094385737,-1.5688243906041344,0.7066333,0,31
2025-11-17T11:21:51,188.448,30288,-5.146338877142174,-1.6202877793755561,0.7001587,0,32
2025-11-17T11:21:58,195.568,30942,-5.611000531277512,-1.6763977846883313,0.6936841,0,33
2025-11-17T11:22:05,202.649,31596,-5.161120123659376,-1.728008985924925,0.6872095,0,34
2025-11-17T11:22:12,209.781,32250,-5.203917470325587,-1.7800481606281808,0.6807349,0,35
2025-11-17T11:22:20,216.894,32904,-5.676097921453406,-1.836809139842715,0.6742603,0,36
2025-11-17T11:22:27,224.0,33558,-5.1411953116293,-1.8882210929590082,0.6677857,0,37
2025-11-17T11:22:34,231.084,34212,-5.131617426815905,-1.9395372672271671,0.6613111,0,38
2025-11-17T11:22:43,240.703,35386,-4.948681303697664,-1.9890240802641437,0.6496885,1,39
2025-11-17T11:22:51,247.928,36040,-5.101602035036911,-2.040040100614513,0.6432139,0,40
2025-11-17T11:22:58,255.09,36694,-5.676097921453406,-2.096801079829047,0.6367393,0,41
2025-11-17T11:23:07,264.747,37868,-4.97118371214148,-2.1465129169504618,0.6251167,1,42
2025-11-17T11:23:17,274.495,39042,-4.461463258584882,-2.1911275495363105,0.6134941,1,43
2025-11-17T11:23:24,281.724,39696,-5.671706235639781,-2.2478446118927082,0.6070195,0,44
2025-11-17T11:23:32,288.98,40350,-5.138623528872863,-2.299230847181437,0.6005449,0,45
2025-11-17T11:23:39,296.148,41004,-5.19865431243085,-2.3512173903057456,0.5940703,0,46
2025-11-17T11:23:51,308.481,42698,-4.756178923080634,-2.398779179536552,0.5772997,2,47
2025-11-17T11:23:58,315.813,43352,-5.133676514636819,-2.45011594468292,0.5708251,0,48
2025-11-17T11:24:06,323.026,44006,-5.121210703408294,-2.5013280517170027,0.5643505,0,49
2025-11-17T11:24:13,330.363,44660,-5.6561133132323995,-2.557889184849327,0.5578759,0,50
2025-11-17T11:24:20,337.677,45314,-5.1685791244609245,-2.609574976093936,0.5514013,0,51
2025-11-17T11:24:30,347.527,46488,-4.923695698706985,-2.658811933081006,0.5397787000000001,1,52
2025-11-17T11:24:40,357.85,47662,-5.013921262616759,-2.7089511457071733,0.5281561,1,53
2025-11-17T11:24:49,365.92,48316,-5.1735859348879005,-2.7606870050560524,0.5216815,0,54
2025-11-17T11:24:56,373.26,48970,-5.6836167184458875,-2.817523172240511,0.5152069,0,55
2025-11-17T11:25:03,380.568,49624,-5.188879876340624,-2.8694119710039176,0.5087322999999999,0,56
2025-11-17T11:25:11,387.88,50278,-5.153541530475962,-2.920947386308677,0.5022576999999999,0,57
2025-11-17T11:25:18,395.183,50932,-5.6485945162399185,-2.9774333314710764,0.49578310000000003,0,58
2025-11-17T11:25:25,402.437,51586,-5.1590610358384605,-3.029023941829461,0.48930850000000004,0,59
2025-11-17T11:25:32,409.793,52240,-5.188879876340624,-3.0809127405928676,0.48283390000000004,0,60
2025-11-17T11:25:40,416.992,52894,-5.666323485363181,-3.1375759754464996,0.47635930000000004,0,61
2025-11-17T11:25:47,424.203,53548,-5.158488544712007,-3.1891608608936197,0.46988470000000004,0,62
2025-11-17T11:25:57,434.023,54722,-4.9038306828678415,-3.238199167722298,0.4582621,1,63
2025-11-17T11:26:04,441.259,55376,-5.158488544712007,-3.2897840531694182,0.4517875,0,64
2025-11-17T11:26:11,448.587,56030,-5.1711509072173625,-3.3414955622415916,0.4453129,0,65
2025-11-17T11:26:19,455.868,56684,-5.6786697042098435,-3.3982822592836897,0.4388383,0,66
2025-11-17T11:26:26,463.135,57338,-5.211120123659375,-3.4503934605202833,0.4323637,0,67
2025-11-17T11:26:33,470.456,57992,-5.688879876340625,-3.50728225928369,0.4258891,0,68
2025-11-17T11:26:40,477.735,58646,-5.1911355154383685,-3.559193614438074,0.4194145,0,69
