t_wall_iso,t_elapsed_s,frame_ag_two,cumulativeRewardAgent,cumulativeRewardAverage_two,epsilon_two,hits_counter,episodes
2025-11-18T10:52:12,4.367,130,-0.9437670943857372,-0.009437670943857373,0.99987229,0,1
2025-11-18T10:52:12,4.426,261,-0.9186389206518567,-0.01862406015037594,0.9997426,0,2
2025-11-18T10:52:12,4.482,392,-0.9264738613030306,-0.027888798763406247,0.99961291,0,3
2025-11-18T10:52:13,4.747,1043,-0.8185907239487457,-0.036074706002893704,0.99896842,1,4
2025-11-18T10:52:13,4.798,1174,-0.9437670943857372,-0.045512376946751074,0.99883873,0,5
2025-11-18T10:52:17,8.987,1304,-0.9114362673180681,-0.05462673961993175,0.99871003,0,6
2025-11-18T10:52:17,9.042,1435,-0.9061731094233313,-0.06368847071416507,0.99858034,0,7
2025-11-18T10:52:17,9.31,2086,-0.8038152910888484,-0.07172662362505355,0.99793585,1,8
2025-11-18T10:52:17,9.366,2217,-0.9114362673180681,-0.08084098629823423,0.99780616,0,9
2025-11-18T10:52:17,9.42,2348,-0.9437670943857372,-0.09027865724209161,0.99767647,0,10
2025-11-18T10:52:22,13.824,2998,-0.8085155359788209,-0.0983638126018798,0.99703297,1,11
2025-11-18T10:52:22,13.876,3129,-0.9087295004007748,-0.10745110760588755,0.99690328,0,12
2025-11-18T10:52:22,13.929,3260,-0.9036013266668943,-0.1164871208725565,0.99677359,0,13
2025-11-18T10:52:22,13.975,3391,-0.9111201236593754,-0.12559832210915023,0.9966439,0,14
2025-11-18T10:52:22,14.019,3522,-0.9362482973932561,-0.1349608050830828,0.99651421,0,15
2025-11-18T10:52:26,18.256,3652,-0.9186389206518567,-0.14414719428960138,0.99638551,0,16
2025-11-18T10:52:26,18.306,3783,-0.9136919064158124,-0.1532841133537595,0.99625582,0,17
2025-11-18T10:52:26,18.357,3914,-0.9411953116293003,-0.16269606647005247,0.99612613,0,18
2025-11-18T10:52:26,18.41,4045,-0.9061577176443378,-0.17175764364649584,0.99599644,0,19
2025-11-18T10:52:26,18.456,4176,-0.9264738613030306,-0.18102238225952616,0.99586675,0,20
2025-11-18T10:52:30,22.599,4306,-0.9411953116293003,-0.19043433537581916,0.99573805,0,21
2025-11-18T10:52:31,22.647,4437,-0.9287295004007748,-0.1997216303798269,0.99560836,0,22
2025-11-18T10:52:31,22.877,5088,-0.8165972459760664,-0.20788760283958754,0.99496387,1,23
2025-11-18T10:52:31,22.922,5219,-0.9036013266668943,-0.2169236161062565,0.99483418,0,24
2025-11-18T10:52:31,22.97,5350,-0.9212107034082937,-0.22613572314033945,0.99470449,0,25
2025-11-18T10:52:35,27.201,5480,-0.9437670943857372,-0.23557339408419684,0.99457579,0,26
2025-11-18T10:52:35,27.276,5611,-0.9012858913782185,-0.244586252997979,0.9944461,0,27
2025-11-18T10:52:35,27.323,5742,-0.9261577176443379,-0.25384783017442236,0.99431641,0,28
2025-11-18T10:52:35,27.37,5873,-0.9362482973932561,-0.26321031314835497,0.99418672,0,29
2025-11-18T10:52:35,27.414,6004,-0.9087295004007748,-0.2722976081523627,0.99405703,0,30
2025-11-18T10:52:39,31.571,6134,-0.9114362673180681,-0.28141197082554337,0.99392833,0,31
2025-11-18T10:52:40,32.112,7305,-0.6913822847844406,-0.2883257936733878,0.99276904,2,32
2025-11-18T10:52:40,32.349,7956,-0.8310719269562644,-0.29663651294295046,0.99212455,1,33
2025-11-18T10:52:40,32.391,8087,-0.8888644845616311,-0.3055251577885667,0.99199486,0,34
2025-11-18T10:52:40,32.447,8218,-0.9411953116293003,-0.31493711090485976,0.99186517,0,35
2025-11-18T10:52:45,36.699,8348,-0.9411953116293003,-0.32434906402115277,0.99173647,0,36
2025-11-18T10:52:45,36.76,8479,-0.9114362673180681,-0.33346342669433343,0.99160678,0,37
2025-11-18T10:52:45,36.811,8610,-0.9039174703255869,-0.3425026013975893,0.99147709,0,38
2025-11-18T10:52:45,36.858,8741,-0.9088046883706997,-0.35159064828129627,0.9913474,0,39
2025-11-18T10:52:45,37.089,9392,-0.7885155359788208,-0.35947580364108456,0.99070291,1,40
2025-11-18T10:52:49,41.301,9522,-0.9287295004007748,-0.3687630986450923,0.99057421,0,41
2025-11-18T10:52:49,41.348,9653,-0.9136919064158124,-0.37790001770925047,0.99044452,0,42
2025-11-18T10:52:50,41.613,10304,-0.8165972459760664,-0.38606599016901116,0.98980003,1,43
2025-11-18T10:52:50,41.731,10435,-0.9136919064158124,-0.39520290923316925,0.98967034,0,44
2025-11-18T10:52:50,41.807,10566,-0.9411953116293003,-0.4046148623494623,0.98954065,0,45
2025-11-18T10:52:54,46.014,10696,-0.9189550643105493,-0.4138044129925678,0.98941195,0,46
2025-11-18T10:52:54,46.062,10827,-0.9336765146368191,-0.42314117813893604,0.98928226,0,47
2025-11-18T10:52:54,46.114,10958,-0.9212107034082937,-0.43235328517301896,0.98915257,0,48
2025-11-18T10:52:54,46.159,11089,-0.9162482973932561,-0.4415157681469515,0.98902288,0,49
2025-11-18T10:52:54,46.406,11740,-0.82881628785852,-0.4498039310255367,0.98837839,1,50
2025-11-18T10:52:58,50.579,11870,-0.9411953116293003,-0.4592158841418297,0.98824969,0,51
2025-11-18T10:52:59,50.625,12001,-0.9012107034082937,-0.4682279911759127,0.98812,0,52
2025-11-18T10:52:59,50.673,12132,-0.9189550643105493,-0.4774175418190182,0.98799031,0,53
2025-11-18T10:52:59,50.717,12263,-0.9336765146368191,-0.4867543069653864,0.98786062,0,54
2025-11-18T10:52:59,50.772,12394,-0.9036013266668943,-0.4957903202320553,0.98773093,0,55
